iter	Passed	Remaining
0	206	206391
1	210	104972
2	216	71827
3	220	54936
4	224	44585
5	227	37724
6	234	33333
7	239	29670
8	242	26741
9	247	24511
10	251	22574
11	254	20941
12	257	19555
13	267	18835
14	271	17798
15	274	16912
16	280	16211
17	284	15507
18	288	14903
19	295	14464
20	301	14068
21	308	13719
22	315	13406
23	322	13125
24	327	12786
25	332	12450
26	340	12264
27	345	11989
28	348	11663
29	352	11398
30	370	11570
31	373	11297
32	376	11031
33	379	10786
34	382	10548
35	388	10396
36	391	10195
37	394	9999
38	397	9806
39	401	9635
40	405	9476
41	408	9319
42	411	9156
43	414	9000
44	418	8877
45	421	8748
46	424	8614
47	427	8483
48	430	8355
49	434	8255
50	439	8172
51	445	8120
52	452	8082
53	456	8002
54	461	7921
55	464	7836
56	468	7751
57	471	7661
58	475	7586
59	479	7506
60	484	7452
61	490	7418
62	494	7354
63	499	7307
64	504	7250
65	507	7180
66	510	7111
67	517	7096
68	521	7041
69	525	6986
70	533	6975
71	537	6928
72	541	6875
73	548	6860
74	551	6806
75	555	6752
76	558	6700
77	564	6673
78	568	6626
79	572	6578
80	575	6532
81	580	6494
82	583	6452
83	587	6405
84	591	6370
85	597	6347
86	601	6317
87	605	6275
88	610	6252
89	615	6218
90	618	6178
91	621	6136
92	625	6101
93	629	6062
94	631	6019
95	634	5976
96	637	5934
97	640	5899
98	645	5872
99	649	5848
100	653	5814
101	657	5787
102	660	5752
103	663	5716
104	666	5680
105	669	5645
106	672	5614
107	676	5584
108	679	5551
109	681	5517
110	685	5486
111	689	5468
112	693	5443
113	696	5416
114	699	5386
115	702	5354
116	706	5332
117	710	5307
118	714	5286
119	716	5257
120	720	5231
121	723	5208
122	726	5182
123	729	5154
124	732	5126
125	735	5099
126	739	5084
127	744	5070
128	747	5049
129	750	5025
130	755	5008
131	758	4985
132	761	4961
133	764	4937
134	766	4914
135	771	4899
136	774	4877
137	777	4854
138	780	4835
139	783	4815
140	789	4812
141	793	4795
142	796	4774
143	800	4756
144	804	4742
145	807	4724
146	810	4704
147	813	4684
148	817	4669
149	820	4651
150	823	4632
151	826	4613
152	830	4594
153	834	4582
154	837	4567
155	841	4550
156	843	4531
157	847	4516
158	851	4504
159	855	4490
160	858	4471
161	861	4456
162	865	4442
163	868	4426
164	871	4409
165	874	4391
166	877	4375
167	880	4360
168	883	4346
169	886	4330
170	889	4314
171	893	4302
172	897	4292
173	901	4280
174	904	4264
175	907	4248
176	910	4232
177	914	4222
178	917	4210
179	921	4196
180	925	4186
181	932	4191
182	936	4182
183	945	4195
184	951	4189
185	954	4178
186	964	4194
187	968	4184
188	972	4172
189	976	4164
190	1026	4348
191	1035	4359
192	1045	4372
193	1049	4362
194	1054	4354
195	1070	4390
196	1073	4376
197	1078	4367
198	1082	4355
199	1086	4344
200	1089	4332
201	1094	4325
202	1100	4319
203	1104	4308
204	1109	4304
205	1114	4297
206	1119	4289
207	1125	4284
208	1129	4274
209	1132	4261
210	1136	4250
211	1141	4242
212	1144	4229
213	1148	4217
214	1151	4205
215	1158	4206
216	1162	4192
217	1165	4179
218	1168	4165
219	1171	4153
220	1175	4141
221	1177	4127
222	1180	4114
223	1184	4105
224	1188	4095
225	1192	4082
226	1195	4069
227	1198	4057
228	1204	4054
229	1208	4045
230	1211	4033
231	1214	4020
232	1217	4007
233	1221	3999
234	1224	3986
235	1227	3973
236	1230	3961
237	1233	3948
238	1238	3942
239	1242	3935
240	1245	3924
241	1248	3911
242	1252	3902
243	1257	3894
244	1260	3884
245	1263	3873
246	1268	3866
247	1272	3859
248	1276	3848
249	1279	3839
250	1283	3829
251	1287	3820
252	1290	3809
253	1293	3798
254	1296	3788
255	1301	3781
256	1304	3772
257	1308	3763
258	1311	3752
259	1314	3740
260	1318	3732
261	1321	3721
262	1324	3710
263	1326	3699
264	1329	3688
265	1333	3680
266	1336	3670
267	1339	3659
268	1342	3648
269	1345	3638
270	1350	3631
271	1353	3623
272	1357	3613
273	1360	3604
274	1365	3599
275	1368	3589
276	1371	3579
277	1374	3569
278	1377	3559
279	1381	3552
280	1384	3543
281	1388	3534
282	1391	3525
283	1395	3517
284	1399	3510
285	1402	3500
286	1405	3491
287	1408	3482
288	1413	3477
289	1417	3469
290	1420	3459
291	1422	3449
292	1426	3441
293	1429	3432
294	1432	3423
295	1435	3413
296	1438	3404
297	1441	3394
298	1444	3387
299	1447	3378
300	1450	3369
301	1453	3360
302	1459	3358
303	1464	3353
304	1467	3344
305	1470	3335
306	1474	3329
307	1478	3322
308	1481	3314
309	1484	3305
310	1487	3296
311	1491	3289
312	1495	3281
313	1497	3272
314	1501	3264
315	1504	3256
316	1508	3250
317	1512	3243
318	1515	3234
319	1518	3225
320	1520	3216
321	1526	3213
322	1528	3204
323	1531	3196
324	1534	3187
325	1538	3179
326	1541	3172
327	1544	3165
328	1547	3156
329	1550	3148
330	1553	3139
331	1558	3136
332	1562	3129
333	1565	3121
334	1568	3113
335	1572	3107
336	1575	3099
337	1578	3091
338	1581	3083
339	1584	3074
340	1587	3068
341	1590	3060
342	1593	3052
343	1596	3044
344	1600	3038
345	1606	3036
346	1610	3031
347	1613	3023
348	1616	3015
349	1620	3010
350	1624	3002
351	1626	2994
352	1629	2987
353	1632	2979
354	1637	2974
355	1640	2966
356	1642	2959
357	1645	2951
358	1648	2943
359	1652	2938
360	1656	2931
361	1659	2924
362	1662	2916
363	1665	2909
364	1669	2903
365	1672	2896
366	1675	2889
367	1677	2881
368	1680	2873
369	1685	2869
370	1688	2863
371	1691	2855
372	1694	2848
373	1698	2842
374	1702	2837
375	1705	2830
376	1708	2823
377	1711	2816
378	1715	2811
379	1719	2805
380	1722	2798
381	1725	2791
382	1728	2783
383	1732	2778
384	1735	2772
385	1740	2767
386	1743	2760
387	1746	2755
388	1750	2749
389	1754	2744
390	1758	2738
391	1761	2732
392	1765	2726
393	1768	2719
394	1771	2712
395	1774	2705
396	1777	2700
397	1781	2694
398	1784	2688
399	1787	2681
400	1790	2674
401	1793	2668
402	1797	2662
403	1800	2656
404	1803	2649
405	1806	2643
406	1810	2638
407	1815	2633
408	1818	2627
409	1821	2620
410	1824	2614
411	1827	2608
412	1831	2602
413	1834	2595
414	1836	2589
415	1839	2582
416	1843	2577
417	1847	2572
418	1851	2566
419	1854	2560
420	1858	2555
421	1861	2549
422	1864	2543
423	1867	2536
424	1869	2529
425	1873	2524
426	1877	2518
427	1880	2512
428	1882	2506
429	1885	2499
430	1889	2494
431	1893	2489
432	1897	2484
433	1900	2478
434	1903	2471
435	1908	2468
436	1912	2463
437	1915	2457
438	1918	2451
439	1922	2446
440	1925	2441
441	1928	2435
442	1931	2428
443	1934	2422
444	1938	2417
445	1941	2412
446	1944	2405
447	1947	2399
448	1951	2394
449	1955	2390
450	1958	2384
451	1961	2378
452	1964	2372
453	1968	2367
454	1971	2361
455	1974	2355
456	1977	2349
457	1980	2343
458	1983	2337
459	1987	2332
460	1990	2327
461	1993	2321
462	1996	2315
463	1999	2309
464	2003	2305
465	2007	2300
466	2011	2295
467	2013	2289
468	2017	2284
469	2021	2279
470	2024	2273
471	2026	2267
472	2029	2261
473	2033	2256
474	2037	2251
475	2040	2245
476	2042	2239
477	2045	2234
478	2050	2230
479	2054	2225
480	2057	2219
481	2060	2214
482	2063	2208
483	2067	2204
484	2070	2198
485	2073	2192
486	2077	2187
487	2082	2184
488	2085	2179
489	2088	2173
490	2091	2167
491	2094	2162
492	2098	2158
493	2102	2153
494	2105	2147
495	2107	2141
496	2110	2136
497	2114	2131
498	2120	2128
499	2123	2123
500	2126	2117
501	2130	2113
502	2133	2108
503	2136	2103
504	2139	2097
505	2142	2092
506	2146	2087
507	2150	2082
508	2153	2077
509	2156	2071
510	2159	2066
511	2164	2063
512	2168	2058
513	2171	2052
514	2173	2047
515	2177	2042
516	2181	2037
517	2184	2032
518	2186	2026
519	2189	2021
520	2194	2017
521	2197	2012
522	2200	2006
523	2203	2001
524	2208	1997
525	2213	1994
526	2219	1991
527	2223	1987
528	2226	1982
529	2229	1977
530	2233	1972
531	2236	1967
532	2239	1962
533	2243	1958
534	2248	1954
535	2252	1949
536	2256	1945
537	2261	1941
538	2265	1937
539	2269	1933
540	2274	1929
541	2278	1925
542	2281	1920
543	2285	1915
544	2289	1911
545	2293	1906
546	2296	1902
547	2300	1897
548	2305	1893
549	2308	1889
550	2312	1884
551	2316	1879
552	2321	1876
553	2324	1871
554	2327	1866
555	2330	1861
556	2333	1856
557	2337	1851
558	2340	1846
559	2343	1841
560	2346	1836
561	2350	1831
562	2355	1828
563	2359	1823
564	2362	1818
565	2365	1813
566	2369	1809
567	2372	1804
568	2375	1799
569	2378	1794
570	2382	1789
571	2385	1785
572	2389	1780
573	2392	1775
574	2395	1770
575	2398	1765
576	2402	1761
577	2406	1756
578	2409	1751
579	2412	1746
580	2415	1742
581	2420	1738
582	2423	1733
583	2426	1728
584	2429	1723
585	2433	1719
586	2437	1714
587	2440	1710
588	2444	1705
589	2447	1701
590	2452	1697
591	2455	1692
592	2459	1687
593	2462	1683
594	2466	1679
595	2469	1674
596	2472	1669
597	2475	1664
598	2479	1659
599	2483	1655
600	2486	1650
601	2489	1645
602	2493	1641
603	2498	1637
604	2501	1633
605	2504	1628
606	2507	1623
607	2510	1618
608	2514	1614
609	2518	1610
610	2521	1605
611	2525	1601
612	2530	1597
613	2533	1592
614	2536	1588
615	2540	1583
616	2544	1579
617	2547	1574
618	2550	1569
619	2553	1564
620	2556	1560
621	2560	1556
622	2563	1551
623	2566	1546
624	2569	1541
625	2573	1537
626	2577	1533
627	2580	1528
628	2583	1523
629	2586	1518
630	2589	1514
631	2593	1509
632	2596	1505
633	2599	1500
634	2602	1496
635	2605	1491
636	2609	1487
637	2612	1482
638	2615	1477
639	2618	1473
640	2621	1468
641	2626	1464
642	2629	1459
643	2632	1455
644	2635	1450
645	2639	1446
646	2643	1442
647	2646	1437
648	2649	1432
649	2652	1428
650	2658	1425
651	2661	1420
652	2664	1416
653	2668	1411
654	2672	1407
655	2675	1402
656	2678	1398
657	2680	1393
658	2684	1388
659	2688	1384
660	2691	1380
661	2694	1375
662	2696	1370
663	2703	1368
664	2707	1364
665	2710	1359
666	2713	1354
667	2716	1350
668	2720	1346
669	2723	1341
670	2727	1337
671	2730	1332
672	2733	1328
673	2737	1323
674	2740	1319
675	2743	1314
676	2746	1310
677	2749	1305
678	2753	1301
679	2757	1297
680	2761	1293
681	2764	1289
682	2768	1285
683	2772	1280
684	2776	1276
685	2780	1272
686	2787	1269
687	2791	1266
688	2795	1261
689	2800	1258
690	2804	1253
691	2807	1249
692	2810	1245
693	2815	1241
694	2818	1236
695	2821	1232
696	2824	1227
697	2827	1223
698	2832	1219
699	2836	1215
700	2840	1211
701	2843	1206
702	2847	1202
703	2850	1198
704	2854	1194
705	2857	1189
706	2860	1185
707	2864	1181
708	2867	1176
709	2870	1172
710	2873	1167
711	2876	1163
712	2880	1159
713	2883	1155
714	2886	1150
715	2889	1146
716	2892	1141
717	2896	1137
718	2899	1133
719	2902	1128
720	2905	1124
721	2908	1119
722	2912	1115
723	2916	1111
724	2919	1107
725	2921	1102
726	2925	1098
727	2929	1094
728	2933	1090
729	2936	1085
730	2939	1081
731	2944	1077
732	2947	1073
733	2949	1069
734	2952	1064
735	2956	1060
736	2960	1056
737	2963	1051
738	2966	1047
739	2969	1043
740	2972	1038
741	2975	1034
742	2978	1030
743	2981	1025
744	2984	1021
745	2988	1017
746	2991	1013
747	2994	1008
748	2997	1004
749	3001	1000
750	3004	996
751	3008	992
752	3012	988
753	3015	983
754	3018	979
755	3022	975
756	3026	971
757	3029	967
758	3032	962
759	3034	958
760	3038	954
761	3042	950
762	3045	945
763	3048	941
764	3051	937
765	3054	933
766	3058	929
767	3061	924
768	3064	920
769	3067	916
770	3071	912
771	3075	908
772	3078	904
773	3081	899
774	3085	895
775	3090	892
776	3093	887
777	3096	883
778	3098	879
779	3103	875
780	3106	870
781	3108	866
782	3111	862
783	3114	858
784	3119	854
785	3123	850
786	3126	846
787	3129	842
788	3133	838
789	3137	834
790	3142	830
791	3145	826
792	3150	822
793	3153	818
794	3156	814
795	3159	809
796	3162	805
797	3166	801
798	3169	797
799	3172	793
800	3175	788
801	3178	784
802	3183	780
803	3189	777
804	3192	773
805	3197	769
806	3201	765
807	3205	761
808	3209	757
809	3214	754
810	3219	750
811	3224	746
812	3230	743
813	3235	739
814	3239	735
815	3243	731
816	3248	727
817	3252	723
818	3256	719
819	3260	715
820	3264	711
821	3267	707
822	3270	703
823	3273	699
824	3277	695
825	3281	691
826	3284	687
827	3287	682
828	3290	678
829	3295	674
830	3298	670
831	3302	666
832	3305	662
833	3308	658
834	3312	654
835	3316	650
836	3319	646
837	3322	642
838	3326	638
839	3329	634
840	3332	630
841	3335	625
842	3338	621
843	3343	618
844	3346	613
845	3349	609
846	3352	605
847	3355	601
848	3359	597
849	3366	594
850	3369	589
851	3373	585
852	3376	581
853	3379	577
854	3382	573
855	3385	569
856	3389	565
857	3392	561
858	3395	557
859	3398	553
860	3401	549
861	3405	545
862	3409	541
863	3411	537
864	3414	532
865	3417	528
866	3423	525
867	3426	521
868	3429	517
869	3432	512
870	3436	508
871	3439	504
872	3443	500
873	3446	496
874	3449	492
875	3453	488
876	3456	484
877	3460	480
878	3463	476
879	3466	472
880	3470	468
881	3473	464
882	3476	460
883	3479	456
884	3482	452
885	3486	448
886	3489	444
887	3492	440
888	3495	436
889	3498	432
890	3503	428
891	3507	424
892	3511	420
893	3514	416
894	3519	412
895	3523	408
896	3526	404
897	3529	400
898	3534	397
899	3539	393
900	3542	389
901	3546	385
902	3550	381
903	3554	377
904	3558	373
905	3562	369
906	3566	365
907	3570	361
908	3575	357
909	3578	353
910	3584	350
911	3587	346
912	3591	342
913	3595	338
914	3600	334
915	3603	330
916	3608	326
917	3612	322
918	3616	318
919	3620	314
920	3626	311
921	3632	307
922	3635	303
923	3638	299
924	3644	295
925	3648	291
926	3651	287
927	3654	283
928	3658	279
929	3663	275
930	3667	271
931	3673	268
932	3678	264
933	3682	260
934	3686	256
935	3689	252
936	3696	248
937	3700	244
938	3703	240
939	3708	236
940	3712	232
941	3715	228
942	3719	224
943	3722	220
944	3727	216
945	3731	212
946	3735	209
947	3738	205
948	3743	201
949	3746	197
950	3751	193
951	3755	189
952	3761	185
953	3764	181
954	3767	177
955	3770	173
956	3775	169
957	3778	165
958	3781	161
959	3784	157
960	3788	153
961	3792	149
962	3795	145
963	3798	141
964	3801	137
965	3805	133
966	3809	129
967	3812	126
968	3815	122
969	3817	118
970	3823	114
971	3827	110
972	3829	106
973	3832	102
974	3836	98
975	3839	94
976	3843	90
977	3847	86
978	3850	82
979	3854	78
980	3859	74
981	3862	70
982	3865	66
983	3869	62
984	3872	58
985	3875	55
986	3878	51
987	3880	47
988	3884	43
989	3887	39
990	3890	35
991	3893	31
992	3896	27
993	3900	23
994	3903	19
995	3906	15
996	3909	11
997	3912	7
998	3916	3
999	3920	0
